,№ЭЧ,Класс_ЭЧ,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,№ВК,№СИОМ
748,7490,0,1,"Marvin, Mr. Daniel Warner",male,19.0,1,0,113773,53.1,D30,S,7,490
842,8430,1,1,"Serepeca, Miss. Augusta",female,30.0,0,0,113798,31.0,,C,8,430
643,6440,1,3,"Foo, Mr. Choong",male,,0,0,1601,56.4958,,S,6,440
365,3660,0,3,"Adahl, Mr. Mauritz Nils Martin",male,30.0,0,0,C 7076,7.25,,S,3,660
494,4950,0,3,"Stanley, Mr. Edward Roland",male,21.0,0,0,A/4 45380,8.05,,S,4,950
308,3090,0,2,"Abelson, Mr. Samuel",male,30.0,1,0,P/PP 3381,24.0,,C,3,090
651,6520,1,2,"Doling, Miss. Elsie",female,18.0,0,1,231919,23.0,,S,6,520
302,3030,0,3,"Johnson, Mr. William Cahoone Jr",male,19.0,0,0,LINE,0.0,,S,3,030
716,7170,1,1,"Endres, Miss. Caroline Louise",female,38.0,0,0,PC 17757,227.525,C45,C,7,170
819,8200,0,3,"Skoog, Master. Karl Thorsten",male,10.0,3,2,347088,27.9,,S,8,200
732,7330,0,2,"Knight, Mr. Robert J",male,,0,0,239855,0.0,,S,7,330
251,2520,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29.0,1,1,347054,10.4625,G6,S,2,520
154,1550,0,3,"Olsen, Mr. Ole Martin",male,,0,0,Fa 265302,7.3125,,S,1,550
403,4040,0,3,"Hakkarainen, Mr. Pekka Pietari",male,28.0,1,0,STON/O2. 3101279,15.85,,S,4,040
610,6110,0,3,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",female,39.0,1,5,347082,31.275,,S,6,110
205,2060,0,3,"Strom, Miss. Telma Matilda",female,2.0,0,1,347054,10.4625,G6,S,2,060
219,2200,0,2,"Harris, Mr. Walter",male,30.0,0,0,W/C 14208,10.5,,S,2,200
693,6940,0,3,"Saad, Mr. Khalil",male,25.0,0,0,2672,7.225,,C,6,940
686,6870,0,3,"Panula, Mr. Jaako Arnold",male,14.0,4,1,3101295,39.6875,,S,6,870
383,3840,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35.0,1,0,113789,52.0,,S,3,840
550,5510,1,1,"Thayer, Mr. John Borland Jr",male,17.0,0,2,17421,110.8833,C70,C,5,510
468,4690,0,3,"Scanlan, Mr. James",male,,0,0,36209,7.725,,Q,4,690
654,6550,0,3,"Hegarty, Miss. Hanora ""Nora""",female,18.0,0,0,365226,6.75,,Q,6,550
649,6500,1,3,"Stanley, Miss. Amy Zillah Elsie",female,23.0,0,0,CA. 2314,7.55,,S,6,500
482,4830,0,3,"Rouse, Mr. Richard Henry",male,50.0,0,0,A/5 3594,8.05,,S,4,830
742,7430,1,1,"Ryerson, Miss. Susan Parker ""Suzette""",female,21.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C,7,430
195,1960,1,1,"Lurette, Miss. Elise",female,58.0,0,0,PC 17569,146.5208,B80,C,1,960
43,440,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,,C,4,40
446,4470,1,2,"Mellinger, Miss. Madeleine Violet",female,13.0,0,1,250644,19.5,,S,4,470
626,6270,0,2,"Kirkland, Rev. Charles Leonard",male,57.0,0,0,219533,12.35,,Q,6,270
791,7920,0,2,"Gaskell, Mr. Alfred",male,16.0,0,0,239865,26.0,,S,7,920
32,330,1,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,,Q,3,30
684,6850,0,2,"Brown, Mr. Thomas William Solomon",male,60.0,1,1,29750,39.0,,S,6,850
373,3740,0,1,"Ringhini, Mr. Sante",male,22.0,0,0,PC 17760,135.6333,,C,3,740
418,4190,0,2,"Matthews, Mr. William John",male,30.0,0,0,28228,13.0,,S,4,190
844,8450,0,3,"Culumovic, Mr. Jeso",male,17.0,0,0,315090,8.6625,,S,8,450
794,7950,0,3,"Dantcheff, Mr. Ristiu",male,25.0,0,0,349203,7.8958,,S,7,950
821,8220,1,3,"Lulic, Mr. Nikola",male,27.0,0,0,315098,8.6625,,S,8,220
179,1800,0,3,"Leonard, Mr. Lionel",male,36.0,0,0,LINE,0.0,,S,1,800
415,4160,0,3,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,,0,0,343095,8.05,,S,4,160
367,3680,1,3,"Moussa, Mrs. (Mantoura Boulos)",female,,0,0,2626,7.2292,,C,3,680
713,7140,0,3,"Larsson, Mr. August Viktor",male,29.0,0,0,7545,9.4833,,S,7,140
537,5380,1,1,"LeRoy, Miss. Bertha",female,30.0,0,0,PC 17761,106.425,,C,5,380
77,780,0,3,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,,S,7,80
155,1560,0,1,"Williams, Mr. Charles Duane",male,51.0,0,1,PC 17597,61.3792,,C,1,560
156,1570,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0,0,35851,7.7333,,Q,1,570
368,3690,1,3,"Jermyn, Miss. Annie",female,,0,0,14313,7.75,,Q,3,690
381,3820,1,3,"Nakid, Miss. Maria (""Mary"")",female,1.0,0,2,2653,15.7417,,C,3,820
395,3960,0,3,"Johansson, Mr. Erik",male,22.0,0,0,350052,7.7958,,S,3,960
128,1290,1,3,"Peter, Miss. Anna",female,,1,1,2668,22.3583,F E69,C,1,290
278,2790,0,3,"Rice, Master. Eric",male,7.0,4,1,382652,29.125,,Q,2,790
298,2990,1,1,"Saalfeld, Mr. Adolphe",male,,0,0,19988,30.5,C106,S,2,990
214,2150,0,3,"Kiernan, Mr. Philip",male,,1,0,367229,7.75,,Q,2,150
809,8100,1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,33.0,1,0,113806,53.1,E8,S,8,100
50,510,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,,S,5,10
890,8910,0,3,"Dooley, Mr. Patrick",male,32.0,0,0,370376,7.75,,Q,8,910
723,7240,0,2,"Hodges, Mr. Henry Price",male,50.0,0,0,250643,13.0,,S,7,240
232,2330,0,2,"Sjostedt, Mr. Ernst Adolf",male,59.0,0,0,237442,13.5,,S,2,330
34,350,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,,C,3,50
45,460,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S,4,60
694,6950,0,1,"Weir, Col. John",male,60.0,0,0,113800,26.55,,S,6,950
114,1150,0,3,"Attalah, Miss. Malake",female,17.0,0,0,2627,14.4583,,C,1,150
122,1230,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,,C,1,230
627,6280,1,1,"Longley, Miss. Gretchen Fiske",female,21.0,0,0,13502,77.9583,D9,S,6,280
261,2620,1,3,"Asplund, Master. Edvin Rojj Felix",male,3.0,4,2,347077,31.3875,,S,2,620
238,2390,0,2,"Pengelly, Mr. Frederick William",male,19.0,0,0,28665,10.5,,S,2,390
437,4380,1,2,"Richards, Mrs. Sidney (Emily Hocking)",female,24.0,2,3,29106,18.75,,S,4,380
585,5860,1,1,"Taussig, Miss. Ruth",female,18.0,0,2,110413,79.65,E68,S,5,860
796,7970,1,1,"Leader, Dr. Alice (Farnham)",female,49.0,0,0,17465,25.9292,D17,S,7,970
254,2550,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41.0,0,2,370129,20.2125,,S,2,550
286,2870,1,3,"de Mulder, Mr. Theodore",male,30.0,0,0,345774,9.5,,S,2,870
94,950,0,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500,7.25,,S,9,50
691,6920,1,3,"Karun, Miss. Manca",female,4.0,0,1,349256,13.4167,,C,6,920
140,1410,0,3,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,2678,15.2458,,C,1,410
406,4070,0,3,"Widegren, Mr. Carl/Charles Peter",male,51.0,0,0,347064,7.75,,S,4,070
440,4410,1,2,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,45.0,1,1,F.C.C. 13529,26.25,,S,4,410
424,4250,0,3,"Rosblom, Mr. Viktor Richard",male,18.0,1,1,370129,20.2125,,S,4,250
792,7930,0,3,"Sage, Miss. Stella Anna",female,,8,2,CA. 2343,69.55,,S,7,930
612,6130,1,3,"Murphy, Miss. Margaret Jane",female,,1,0,367230,15.5,,Q,6,130
848,8490,0,2,"Harper, Rev. John",male,28.0,0,1,248727,33.0,,S,8,490
152,1530,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,,S,1,530
118,1190,0,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,247.5208,B58 B60,C,1,190
633,6340,0,1,"Parr, Mr. William Henry Marsh",male,,0,0,112052,0.0,,S,6,340
347,3480,1,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,,1,0,386525,16.1,,S,3,480
783,7840,0,3,"Johnston, Mr. Andrew G",male,,1,2,W./C. 6607,23.45,,S,7,840
159,1600,0,3,"Sage, Master. Thomas Henry",male,,8,2,CA. 2343,69.55,,S,1,600
133,1340,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414,26.0,,S,1,340
268,2690,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,0,1,PC 17582,153.4625,C125,S,2,690
2,30,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,7.925,,S,3,0
523,5240,1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,44.0,0,1,111361,57.9792,B18,C,5,240
598,5990,0,3,"Boulos, Mr. Hanna",male,,0,0,2664,7.225,,C,5,990
769,7700,0,3,"Gronnestad, Mr. Daniel Danielsen",male,32.0,0,0,8471,8.3625,,S,7,700
619,6200,0,2,"Gavey, Mr. Lawrence",male,26.0,0,0,31028,10.5,,S,6,200
574,5750,0,3,"Rush, Mr. Alfred George John",male,16.0,0,0,A/4. 20589,8.05,,S,5,750
379,3800,0,3,"Gustafsson, Mr. Karl Gideon",male,19.0,0,0,347069,7.775,,S,3,800
656,6570,0,3,"Radeff, Mr. Alexander",male,,0,0,349223,7.8958,,S,6,570
771,7720,0,3,"Jensen, Mr. Niels Peder",male,48.0,0,0,350047,7.8542,,S,7,720
260,2610,0,3,"Smith, Mr. Thomas",male,,0,0,384461,7.75,,Q,2,610
480,4810,0,3,"Goodwin, Master. Harold Victor",male,9.0,5,2,CA 2144,46.9,,S,4,810
230,2310,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,1,0,36973,83.475,C83,S,2,310
125,1260,1,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651,11.2417,,C,1,260
396,3970,0,3,"Olsson, Miss. Elina",female,31.0,0,0,350407,7.8542,,S,3,970
866,8670,1,2,"Duran y More, Miss. Asuncion",female,27.0,1,0,SC/PARIS 2149,13.8583,,C,8,670
779,7800,1,1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",female,43.0,0,1,24160,211.3375,B3,S,7,800
767,7680,0,3,"Mangan, Miss. Mary",female,30.5,0,0,364850,7.75,,Q,7,680
461,4620,0,3,"Morley, Mr. William",male,34.0,0,0,364506,8.05,,S,4,620
466,4670,0,2,"Campbell, Mr. William",male,,0,0,239853,0.0,,S,4,670
734,7350,0,2,"Troupiansky, Mr. Moses Aaron",male,23.0,0,0,233639,13.0,,S,7,350
394,3950,1,3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24.0,0,2,PP 9549,16.7,G6,S,3,950
705,7060,0,2,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",male,39.0,0,0,250655,26.0,,S,7,060
345,3460,1,2,"Brown, Miss. Amelia ""Mildred""",female,24.0,0,0,248733,13.0,F33,S,3,460
552,5530,0,3,"O'Brien, Mr. Timothy",male,,0,0,330979,7.8292,,Q,5,530
469,4700,1,3,"Baclini, Miss. Helene Barbara",female,0.75,2,1,2666,19.2583,,C,4,700
722,7230,0,2,"Gillespie, Mr. William Henry",male,34.0,0,0,12233,13.0,,S,7,230
350,3510,0,3,"Odahl, Mr. Nils Martin",male,23.0,0,0,7267,9.225,,S,3,510
432,4330,1,2,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,42.0,1,0,SC/AH 3085,26.0,,S,4,330
5,60,0,3,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q,6,0
588,5890,0,3,"Gilinski, Mr. Eliezer",male,22.0,0,0,14973,8.05,,S,5,890
78,790,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,,S,7,90
235,2360,0,3,"Harknett, Miss. Alice Phoebe",female,,0,0,W./C. 6609,7.55,,S,2,360
695,6960,0,2,"Chapman, Mr. Charles Henry",male,52.0,0,0,248731,13.5,,S,6,960
721,7220,0,3,"Jensen, Mr. Svend Lauritz",male,17.0,1,0,350048,7.0542,,S,7,220
453,4540,1,1,"Goldenberg, Mr. Samuel L",male,49.0,1,0,17453,89.1042,C92,C,4,540
414,4150,1,3,"Sundman, Mr. Johan Julian",male,44.0,0,0,STON/O 2. 3101269,7.925,,S,4,150
751,7520,1,3,"Moor, Master. Meier",male,6.0,0,1,392096,12.475,E121,S,7,520
545,5460,0,1,"Nicholson, Mr. Arthur Ernest",male,64.0,0,0,693,26.0,,S,5,460
807,8080,0,3,"Pettersson, Miss. Ellen Natalia",female,18.0,0,0,347087,7.775,,S,8,080
575,5760,0,3,"Patchett, Mr. George",male,19.0,0,0,358585,14.5,,S,5,760
93,940,0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315,20.575,,S,9,40
314,3150,0,2,"Hart, Mr. Benjamin",male,43.0,1,1,F.C.C. 13529,26.25,,S,3,150
517,5180,0,3,"Ryan, Mr. Patrick",male,,0,0,371110,24.15,,Q,5,180
816,8170,0,3,"Heininen, Miss. Wendla Maria",female,23.0,0,0,STON/O2. 3101290,7.925,,S,8,170
266,2670,0,3,"Panula, Mr. Ernesti Arvid",male,16.0,4,1,3101295,39.6875,,S,2,670
540,5410,1,1,"Crosby, Miss. Harriet R",female,36.0,0,2,WE/P 5735,71.0,B22,S,5,410
356,3570,1,1,"Bowerman, Miss. Elsie Edith",female,22.0,0,1,113505,55.0,E33,S,3,570
877,8780,0,3,"Petroff, Mr. Nedelio",male,19.0,0,0,349212,7.8958,,S,8,780
358,3590,1,3,"McGovern, Miss. Mary",female,,0,0,330931,7.8792,,Q,3,590
873,8740,0,3,"Vander Cruyssen, Mr. Victor",male,47.0,0,0,345765,9.0,,S,8,740
161,1620,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0,0,C.A. 33595,15.75,,S,1,620
113,1140,0,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,,S,1,140
518,5190,1,2,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",female,36.0,1,0,226875,26.0,,S,5,190
175,1760,0,3,"Klasen, Mr. Klas Albin",male,18.0,1,1,350404,7.8542,,S,1,760
757,7580,0,2,"Bailey, Mr. Percy Andrew",male,18.0,0,0,29108,11.5,,S,7,580
74,750,1,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,,S,7,50
130,1310,0,3,"Drazenoic, Mr. Jozef",male,33.0,0,0,349241,7.8958,,C,1,310
604,6050,1,1,"Homer, Mr. Harry (""Mr E Haven"")",male,35.0,0,0,111426,26.55,,C,6,050
438,4390,0,1,"Fortune, Mr. Mark",male,64.0,1,4,19950,263.0,C23 C25 C27,S,4,390
262,2630,0,1,"Taussig, Mr. Emil",male,52.0,1,1,110413,79.65,E67,S,2,630
858,8590,1,3,"Baclini, Mrs. Solomon (Latifa Qurban)",female,24.0,0,3,2666,19.2583,,C,8,590
326,3270,0,3,"Nysveen, Mr. Johan Hansen",male,61.0,0,0,345364,6.2375,,S,3,270
234,2350,0,2,"Leyson, Mr. Robert William Norman",male,24.0,0,0,C.A. 29566,10.5,,S,2,350
668,6690,0,3,"Cook, Mr. Jacob",male,43.0,0,0,A/5 3536,8.05,,S,6,690
516,5170,1,2,"Lemore, Mrs. (Amelia Milley)",female,34.0,0,0,C.A. 34260,10.5,F33,S,5,170
483,4840,1,3,"Turkula, Mrs. (Hedwig)",female,63.0,0,0,4134,9.5875,,S,4,840
641,6420,1,1,"Sagesser, Mlle. Emma",female,24.0,0,0,PC 17477,69.3,B35,C,6,420
1,20,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C85,C,2,0
491,4920,0,3,"Windelov, Mr. Einar",male,21.0,0,0,SOTON/OQ 3101317,7.25,,S,4,920
856,8570,1,1,"Wick, Mrs. George Dennick (Mary Hitchcock)",female,45.0,1,1,36928,164.8667,,S,8,570
86,870,0,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,,S,8,70
664,6650,1,3,"Lindqvist, Mr. Eino William",male,20.0,1,0,STON/O 2. 3101285,7.925,,S,6,650
181,1820,0,2,"Pernot, Mr. Rene",male,,0,0,SC/PARIS 2131,15.05,,C,1,820
638,6390,0,3,"Panula, Mrs. Juha (Maria Emilia Ojala)",female,41.0,0,5,3101295,39.6875,,S,6,390
213,2140,0,2,"Givard, Mr. Hans Kristensen",male,30.0,0,0,250646,13.0,,S,2,140
90,910,0,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,,S,9,10
374,3750,0,3,"Palsson, Miss. Stina Viola",female,3.0,3,1,349909,21.075,,S,3,750
193,1940,1,2,"Navratil, Master. Michel M",male,3.0,1,1,230080,26.0,F2,S,1,940
249,2500,0,2,"Carter, Rev. Ernest Courtenay",male,54.0,1,0,244252,26.0,,S,2,500
392,3930,0,3,"Gustafsson, Mr. Johan Birger",male,28.0,2,0,3101277,7.925,,S,3,930
663,6640,0,3,"Coleff, Mr. Peju",male,36.0,0,0,349210,7.4958,,S,6,640
460,4610,1,1,"Anderson, Mr. Harry",male,48.0,0,0,19952,26.55,E12,S,4,610
797,7980,1,3,"Osman, Mrs. Mara",female,31.0,0,0,349244,8.6833,,S,7,980
870,8710,0,3,"Balkic, Mr. Cerin",male,26.0,0,0,349248,7.8958,,S,8,710
176,1770,0,3,"Lefebre, Master. Henry Forbes",male,,3,1,4133,25.4667,,S,1,770
803,8040,1,3,"Thomas, Master. Assad Alexander",male,0.42,0,1,2625,8.5167,,C,8,040
246,2470,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,25.0,0,0,347071,7.775,,S,2,470
475,4760,0,1,"Clifford, Mr. George Quincy",male,,0,0,110465,52.0,A14,S,4,760
471,4720,0,3,"Cacic, Mr. Luka",male,38.0,0,0,315089,8.6625,,S,4,720
121,1220,0,3,"Moore, Mr. Leonard Charles",male,,0,0,A4. 54510,8.05,,S,1,220
709,7100,1,3,"Moubarek, Master. Halim Gonios (""William George"")",male,,1,1,2661,15.2458,,C,7,100
352,3530,0,3,"Elias, Mr. Tannous",male,15.0,1,1,2695,7.2292,,C,3,530
20,210,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,,S,2,10
667,6680,0,3,"Rommetvedt, Mr. Knud Paust",male,,0,0,312993,7.775,,S,6,680
139,1400,0,1,"Giglio, Mr. Victor",male,24.0,0,0,PC 17593,79.2,B86,C,1,400
583,5840,0,1,"Ross, Mr. John Hugo",male,36.0,0,0,13049,40.125,A10,C,5,840
554,5550,1,3,"Ohman, Miss. Velin",female,22.0,0,0,347085,7.775,,S,5,550
660,6610,1,1,"Frauenthal, Dr. Henry William",male,50.0,2,0,PC 17611,133.65,,S,6,610
613,6140,0,3,"Horgan, Mr. John",male,,0,0,370377,7.75,,Q,6,140
203,2040,0,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,,C,2,040
719,7200,0,3,"Johnson, Mr. Malkolm Joackim",male,33.0,0,0,347062,7.775,,S,7,200
646,6470,0,3,"Cor, Mr. Liudevit",male,19.0,0,0,349231,7.8958,,S,6,470
228,2290,0,2,"Fahlstrom, Mr. Arne Jonas",male,18.0,0,0,236171,13.0,,S,2,290
208,2090,1,3,"Carr, Miss. Helen ""Ellen""",female,16.0,0,0,367231,7.75,,Q,2,090
740,7410,1,1,"Hawksford, Mr. Walter James",male,,0,0,16988,30.0,D45,S,7,410
839,8400,1,1,"Marechal, Mr. Pierre",male,,0,0,11774,29.7,C47,C,8,400
645,6460,1,1,"Harper, Mr. Henry Sleeper",male,48.0,1,0,PC 17572,76.7292,D33,C,6,460
521,5220,0,3,"Vovk, Mr. Janko",male,22.0,0,0,349252,7.8958,,S,5,220
782,7830,0,1,"Long, Mr. Milton Clyde",male,29.0,0,0,113501,30.0,D6,S,7,830
168,1690,0,1,"Baumann, Mr. John D",male,,0,0,PC 17318,25.925,,S,1,690
332,3330,0,1,"Graham, Mr. George Edward",male,38.0,0,1,PC 17582,153.4625,C91,S,3,330
696,6970,0,3,"Kelly, Mr. James",male,44.0,0,0,363592,8.05,,S,6,970
407,4080,1,2,"Richards, Master. William Rowe",male,3.0,1,1,29106,18.75,,S,4,080
700,7010,1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18.0,1,0,PC 17757,227.525,C62 C64,C,7,010
505,5060,0,1,"Penasco y Castellana, Mr. Victor de Satode",male,18.0,1,0,PC 17758,108.9,C65,C,5,060
768,7690,0,3,"Moran, Mr. Daniel J",male,,1,0,371110,24.15,,Q,7,690
7,80,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,,S,8,0
737,7380,1,1,"Lesurer, Mr. Gustave J",male,35.0,0,0,PC 17755,512.3292,B101,C,7,380
851,8520,0,3,"Svensson, Mr. Johan",male,74.0,0,0,347060,7.775,,S,8,520
